snapshot_id,fecha_ejecucion,semana_iso,origen,oficial,revision,tickers_solicitados,resultados_brutos,descargas_correctas,errores_descarga,deduplicados,empresas_evaluadas,candidatas,tasa_exito_descarga,umbral_exito_minimo,github_run_id,github_run_attempt,github_run_url,github_sha,universe_id,universe_sha256,universe_path,proveedor_datos,datos_ok,datos_revisar,datos_inutilizables
snap_20260831T081523783305Z,2026-08-31T08:15:23.783305+00:00,2026-W36,workflow_dispatch,False,1,205,205,205,0,19,186,1,1.0,0.8,,,,,,,,,,,
snap_20260831T083903260078Z,2026-08-31T08:39:03.260078+00:00,2026-W36,workflow_dispatch,False,2,205,205,205,0,19,186,1,1.0,0.8,33373572686,1,https://github.com/DiegoRecover8/screener-value-investing/actions/runs/33373572686,0e575f7b44df8bca0fa01177f2c2b13e4654788e,,,,,,,
snap_20260831T102014252517Z,2026-08-31T10:20:14.252517+00:00,2026-W36,workflow_dispatch,False,3,205,205,205,0,19,186,1,1.0,0.8,33381602862,1,https://github.com/DiegoRecover8/screener-value-investing/actions/runs/33381602862,d932f5cfd342536d5a2d8d66b437f6f404fa2279,uv_2026q3_r01,3aadf46d002d1e98dc663ed7e21ae6b1e3a21281df8b4db47905082379c63120,universos/oficiales/uv_2026q3_r01.csv,,,,
snap_20260831T110945054959Z,2026-08-31T11:09:45.054959+00:00,2026-W36,workflow_dispatch,False,4,205,205,205,0,19,186,1,1.0,0.8,33385334706,1,https://github.com/DiegoRecover8/screener-value-investing/actions/runs/33385334706,82c00091f7ae130b9952a685a1bdee7f4411fd20,uv_2026q3_r01,3aadf46d002d1e98dc663ed7e21ae6b1e3a21281df8b4db47905082379c63120,universos/oficiales/uv_2026q3_r01.csv,,,,
snap_20260831T112029615385Z,2026-08-31T11:20:29.615385+00:00,2026-W36,workflow_dispatch,False,5,205,205,205,0,19,186,1,1.0,0.8,33386207830,1,https://github.com/DiegoRecover8/screener-value-investing/actions/runs/33386207830,3dbf505da7da737988c71bbd84b7d7cbe78ec08d,uv_2026q3_r01,3aadf46d002d1e98dc663ed7e21ae6b1e3a21281df8b4db47905082379c63120,universos/oficiales/uv_2026q3_r01.csv,,,,
snap_20260831T142437122873Z,2026-08-31T14:24:37.122873+00:00,2026-W36,workflow_dispatch,False,6,670,670,670,0,119,551,10,1.0,0.8,33401097992,1,https://github.com/DiegoRecover8/screener-value-investing/actions/runs/33401097992,5c974129b24afebdaa4f4b5203aec424f670f7fb,uv_2026q3_r02,2ce9ec09a885d191cb154d354ad34dfefde1a866e0c4fc87aeda73c94dd649c6,universos/oficiales/uv_2026q3_r02.csv,,,,
snap_20260831T150152736796Z,2026-08-31T15:01:52.736796+00:00,2026-W36,workflow_dispatch,False,7,670,670,670,0,119,551,10,1.0,0.8,33404412252,1,https://github.com/DiegoRecover8/screener-value-investing/actions/runs/33404412252,427c42aef6768c4c048dc722f5a73991e8550eb3,uv_2026q3_r02,2ce9ec09a885d191cb154d354ad34dfefde1a866e0c4fc87aeda73c94dd649c6,universos/oficiales/uv_2026q3_r02.csv,,,,
snap_20260831T155950914633Z,2026-08-31T15:59:50.914633+00:00,2026-W36,workflow_dispatch,True,8,670,670,670,0,119,551,10,1.0,0.8,33410637993,1,https://github.com/DiegoRecover8/screener-value-investing/actions/runs/33410637993,079f5acebdb8a428ba5f375c5dac71b9b0fea8d2,uv_2026q3_r02,2ce9ec09a885d191cb154d354ad34dfefde1a866e0c4fc87aeda73c94dd649c6,universos/oficiales/uv_2026q3_r02.csv,,,,
snap_20260901T082736034153Z,2026-09-01T08:27:36.034153+00:00,2026-W36,workflow_dispatch,False,9,670,670,670,0,25,645,11,1.0,0.8,33486128791,1,https://github.com/DiegoRecover8/screener-value-investing/actions/runs/33486128791,279f86d18c54964826129bdb3ca9874a18e1bba3,uv_2026q3_r03,a74b5646cab814bfaf14c51d8c084906bfb06552abd69c7c9427260e1080f07b,universos/oficiales/uv_2026q3_r03.csv,,,,
snap_20260901T084552678467Z,2026-09-01T08:45:52.678467+00:00,2026-W36,workflow_dispatch,False,10,670,670,670,0,25,645,11,1.0,0.8,33487646024,1,https://github.com/DiegoRecover8/screener-value-investing/actions/runs/33487646024,ae8bc3b021ecf00270f3badbe4d1f90f70edcf23,uv_2026q3_r03,a74b5646cab814bfaf14c51d8c084906bfb06552abd69c7c9427260e1080f07b,universos/oficiales/uv_2026q3_r03.csv,,,,
snap_20260901T090519254765Z,2026-09-01T09:05:19.254765+00:00,2026-W36,workflow_dispatch,True,11,670,670,670,0,25,645,11,1.0,0.8,33489341391,1,https://github.com/DiegoRecover8/screener-value-investing/actions/runs/33489341391,fa0302ff9f2fa1ca14e654776f0e092e769944e0,uv_2026q3_r03,a74b5646cab814bfaf14c51d8c084906bfb06552abd69c7c9427260e1080f07b,universos/oficiales/uv_2026q3_r03.csv,,,,
snap_20260901T110530925723Z,2026-09-01T11:05:30.925723+00:00,2026-W36,workflow_dispatch,False,12,670,670,670,0,25,645,11,1.0,0.8,33499675051,1,https://github.com/DiegoRecover8/screener-value-investing/actions/runs/33499675051,3106e32eae592a7f74bf48dadb91791b95de4ea4,uv_2026q3_r03,a74b5646cab814bfaf14c51d8c084906bfb06552abd69c7c9427260e1080f07b,universos/oficiales/uv_2026q3_r03.csv,yfinance,445,191,9
