ticker,origen_inclusion,region_descubrimiento,sector_descubrimiento,nota
SAN.MC,legacy,,,
ITX.MC,legacy,,,
TEF.MC,legacy,,,
SIE.DE,legacy,,,
ASML.AS,legacy,,,
AMS.MC,legacy,,,
IDR.MC,legacy,,,
AENA.MC,legacy,,,
FER.MC,legacy,,,
GRF.MC,legacy,,,
ROVI.MC,legacy,,,
FDR.MC,legacy,,,
CIRSA.MC,legacy,,,
PUIG.MC,legacy,,,
DIGIS.MC,legacy,,,
REP.MC,legacy,,,
ACX.MC,legacy,,,
ENC.MC,legacy,,,
IBE.MC,legacy,,,
ELE.MC,legacy,,,
CTT.LS,legacy,,,
EGL.LS,legacy,,,
JMT.LS,legacy,,,
SON.LS,legacy,,,
NOS.LS,legacy,,,
GALP.LS,legacy,,,
NVG.LS,legacy,,,
ALTR.LS,legacy,,,
EDP.LS,legacy,,,
EDPR.LS,legacy,,,
STMPA.PA,legacy,,,
DSY.PA,legacy,,,
SU.PA,legacy,,,
AIR.PA,legacy,,,
SAN.PA,legacy,,,
EL.PA,legacy,,,
MC.PA,legacy,,,
KER.PA,legacy,,,
OR.PA,legacy,,,
BN.PA,legacy,,,
ORA.PA,legacy,,,
BOL.PA,legacy,,,
TTE.PA,legacy,,,
TE.PA,legacy,,,
AI.PA,legacy,,,
VK.PA,legacy,,,
ENGI.PA,legacy,,,
VLTSA.PA,legacy,,,
NVD.DE,legacy,,,
SAP.DE,legacy,,,
AIR.DE,legacy,,,
NOV.DE,legacy,,,
MRK.DE,legacy,,,
MBG.DE,legacy,,,
P911.DE,legacy,,,
HEN3.DE,legacy,,,
BEI.DE,legacy,,,
DTE.DE,legacy,,,
EVD.DE,legacy,,,
BPE5.DE,legacy,,,
BAS.DE,legacy,,,
HEI.DE,legacy,,,
NNGF.DE,legacy,,,
EOAN.DE,legacy,,,
1NOKIA.MI,legacy,,,
STMMI.MI,legacy,,,
PST.MI,legacy,,,
PRY.MI,legacy,,,
REC.MI,legacy,,,
DIA.MI,legacy,,,
RACE.MI,legacy,,,
STLAM.MI,legacy,,,
CPR.MI,legacy,,,
MARR.MI,legacy,,,
TIT.MI,legacy,,,
MFEB.MI,legacy,,,
ENI.MI,legacy,,,
TEN.MI,legacy,,,
BZU.MI,legacy,,,
CEM.MI,legacy,,,
ENEL.MI,legacy,,,
TRN.MI,legacy,,,
ASM.AS,legacy,,,
REN.AS,legacy,,,
EXO.AS,legacy,,,
PHIA.AS,legacy,,,
PRX.AS,legacy,,,
BFIT.AS,legacy,,,
UNA.AS,legacy,,,
HEIA.AS,legacy,,,
UMG.AS,legacy,,,
KPN.AS,legacy,,,
SHELL.AS,legacy,,,
SBMO.AS,legacy,,,
MT.AS,legacy,,,
DSFIR.AS,legacy,,,
UMI.BR,legacy,,,
UCB.BR,legacy,,,
ONWD.BR,legacy,,,
ABI.BR,legacy,,,
ONTEX.BR,legacy,,,
PROX.BR,legacy,,,
CMBT.BR,legacy,,,
SYENS.BR,legacy,,,
AZE.BR,legacy,,,
ATS.VI,legacy,,,
OMV.VI,legacy,,,
VOE.VI,legacy,,,
WIE.VI,legacy,,,
VER.VI,legacy,,,
RYA.IR,legacy,,,
IR5B.IR,legacy,,,
UPR.IR,legacy,,,
C5H.IR,legacy,,,
GVR.IR,legacy,,,
KRZ.IR,legacy,,,
GL9.IR,legacy,,,
NOKIA.HE,legacy,,,
IQMX.HE,legacy,,,
KNEBV.HE,legacy,,,
WRT1V.HE,legacy,,,
ORNBV.HE,legacy,,,
TTALO.HE,legacy,,,
STERV.HE,legacy,,,
HUH1V.HE,legacy,,,
KESKOB.HE,legacy,,,
TOKMAN.HE,legacy,,,
TELIA1.HE,legacy,,,
ELISA.HE,legacy,,,
NESTE.HE,legacy,,,
UPM.HE,legacy,,,
SSABBH.HE,legacy,,,
FORTUM.HE,legacy,,,
NVDA,legacy,,,
AAPL,legacy,,,
MSFT,legacy,,,
TSM,legacy,,,
AVGO,legacy,,,
SKHY,legacy,,,
MU,legacy,,,
AMD,legacy,,,
SPCX,legacy,,,
CAT,legacy,,,
CYATY,legacy,,,
GE,legacy,,,
RTX,legacy,,,
SIEGY,legacy,,,
GEV,legacy,,,
SBGSY,legacy,,,
LLY,legacy,,,
JNJ,legacy,,,
ABBV,legacy,,,
MRK,legacy,,,
UNH,legacy,,,
RHHBY,legacy,,,
NVS,legacy,,,
AZN,legacy,,,
AMZN,legacy,,,
TSLA,legacy,,,
HD,legacy,,,
BABAF,legacy,,,
BABA,legacy,,,
LVMUY,legacy,,,
TOYOF,legacy,,,
TM,legacy,,,
WMT,legacy,,,
COST,legacy,,,
KO,legacy,,,
PG,legacy,,,
PM,legacy,,,
NSRGY,legacy,,,
LRLCY,legacy,,,
PEP,legacy,,,
GOOGL,legacy,,,
GOOG,legacy,,,
META,legacy,,,
TCEHY,legacy,,,
NFLX,legacy,,,
VZ,legacy,,,
TMUS,legacy,,,
DIS,legacy,,,
XOM,legacy,,,
CVX,legacy,,,
SHEL,legacy,,,
TTE,legacy,,,
COP,legacy,,,
PBR,legacy,,,
PBR-A,legacy,,,
ENB,legacy,,,
BHPLF,legacy,,,
BHP,legacy,,,
LIN,legacy,,,
SCCO,legacy,,,
RIO,legacy,,,
NEM,legacy,,,
AIQUY,legacy,,,
FCX,legacy,,,
NEE,legacy,,,
ENLAY,legacy,,,
SO,legacy,,,
CEG,legacy,,,
DUK,legacy,,,
NGG,legacy,,,
ENGIY,legacy,,,
AEP,legacy,,,
