ticker,origen_inclusion,region_descubrimiento,sector_descubrimiento,nota
NVDA,balanced_rank_v1:cuota_base,us,Technology,disc_20260831T103225269745Z; rank_bucket=1; cuota_seleccion=12
AAPL,balanced_rank_v1:cuota_base,us,Technology,disc_20260831T103225269745Z; rank_bucket=2; cuota_seleccion=12
MSFT,balanced_rank_v1:cuota_base,us,Technology,disc_20260831T103225269745Z; rank_bucket=3; cuota_seleccion=12
TSM,balanced_rank_v1:cuota_base,us,Technology,disc_20260831T103225269745Z; rank_bucket=4; cuota_seleccion=12
AVGO,balanced_rank_v1:cuota_base,us,Technology,disc_20260831T103225269745Z; rank_bucket=5; cuota_seleccion=12
SKHY,balanced_rank_v1:cuota_base,us,Technology,disc_20260831T103225269745Z; rank_bucket=6; cuota_seleccion=12
MU,balanced_rank_v1:cuota_base,us,Technology,disc_20260831T103225269745Z; rank_bucket=7; cuota_seleccion=12
AMD,balanced_rank_v1:cuota_base,us,Technology,disc_20260831T103225269745Z; rank_bucket=8; cuota_seleccion=12
ASML,balanced_rank_v1:cuota_base,us,Technology,disc_20260831T103225269745Z; rank_bucket=9; cuota_seleccion=12
INTC,balanced_rank_v1:cuota_base,us,Technology,disc_20260831T103225269745Z; rank_bucket=10; cuota_seleccion=12
PLTR,balanced_rank_v1:cuota_base,us,Technology,disc_20260831T103225269745Z; rank_bucket=11; cuota_seleccion=12
ORCL,balanced_rank_v1:cuota_base,us,Technology,disc_20260831T103225269745Z; rank_bucket=12; cuota_seleccion=12
SPCX,balanced_rank_v1:cuota_base,us,Industrials,disc_20260831T103225269745Z; rank_bucket=1; cuota_seleccion=12
CAT,balanced_rank_v1:cuota_base,us,Industrials,disc_20260831T103225269745Z; rank_bucket=2; cuota_seleccion=12
CYATY,balanced_rank_v1:cuota_base,us,Industrials,disc_20260831T103225269745Z; rank_bucket=3; cuota_seleccion=12
GE,balanced_rank_v1:cuota_base,us,Industrials,disc_20260831T103225269745Z; rank_bucket=4; cuota_seleccion=12
RTX,balanced_rank_v1:cuota_base,us,Industrials,disc_20260831T103225269745Z; rank_bucket=5; cuota_seleccion=12
SIEGY,balanced_rank_v1:cuota_base,us,Industrials,disc_20260831T103225269745Z; rank_bucket=6; cuota_seleccion=12
GEV,balanced_rank_v1:cuota_base,us,Industrials,disc_20260831T103225269745Z; rank_bucket=7; cuota_seleccion=12
SBGSY,balanced_rank_v1:cuota_base,us,Industrials,disc_20260831T103225269745Z; rank_bucket=8; cuota_seleccion=12
EADSY,balanced_rank_v1:cuota_base,us,Industrials,disc_20260831T103225269745Z; rank_bucket=9; cuota_seleccion=12
UNP,balanced_rank_v1:cuota_base,us,Industrials,disc_20260831T103225269745Z; rank_bucket=10; cuota_seleccion=12
ABBNY,balanced_rank_v1:cuota_base,us,Industrials,disc_20260831T103225269745Z; rank_bucket=11; cuota_seleccion=12
RYCEY,balanced_rank_v1:cuota_base,us,Industrials,disc_20260831T103225269745Z; rank_bucket=12; cuota_seleccion=12
LLY,balanced_rank_v1:cuota_base,us,Healthcare,disc_20260831T103225269745Z; rank_bucket=1; cuota_seleccion=12
JNJ,balanced_rank_v1:cuota_base,us,Healthcare,disc_20260831T103225269745Z; rank_bucket=2; cuota_seleccion=12
ABBV,balanced_rank_v1:cuota_base,us,Healthcare,disc_20260831T103225269745Z; rank_bucket=3; cuota_seleccion=12
MRK,balanced_rank_v1:cuota_base,us,Healthcare,disc_20260831T103225269745Z; rank_bucket=4; cuota_seleccion=12
UNH,balanced_rank_v1:cuota_base,us,Healthcare,disc_20260831T103225269745Z; rank_bucket=5; cuota_seleccion=12
RHHBY,balanced_rank_v1:cuota_base,us,Healthcare,disc_20260831T103225269745Z; rank_bucket=6; cuota_seleccion=12
NVS,balanced_rank_v1:cuota_base,us,Healthcare,disc_20260831T103225269745Z; rank_bucket=7; cuota_seleccion=12
AZN,balanced_rank_v1:cuota_base,us,Healthcare,disc_20260831T103225269745Z; rank_bucket=8; cuota_seleccion=12
AMGN,balanced_rank_v1:cuota_base,us,Healthcare,disc_20260831T103225269745Z; rank_bucket=9; cuota_seleccion=12
TMO,balanced_rank_v1:cuota_base,us,Healthcare,disc_20260831T103225269745Z; rank_bucket=10; cuota_seleccion=12
NVO,balanced_rank_v1:cuota_base,us,Healthcare,disc_20260831T103225269745Z; rank_bucket=11; cuota_seleccion=12
ABT,balanced_rank_v1:cuota_base,us,Healthcare,disc_20260831T103225269745Z; rank_bucket=12; cuota_seleccion=12
AMZN,balanced_rank_v1:cuota_base,us,Consumer Cyclical,disc_20260831T103225269745Z; rank_bucket=1; cuota_seleccion=12
TSLA,balanced_rank_v1:cuota_base,us,Consumer Cyclical,disc_20260831T103225269745Z; rank_bucket=2; cuota_seleccion=12
HD,balanced_rank_v1:cuota_base,us,Consumer Cyclical,disc_20260831T103225269745Z; rank_bucket=3; cuota_seleccion=12
BABAF,balanced_rank_v1:cuota_base,us,Consumer Cyclical,disc_20260831T103225269745Z; rank_bucket=4; cuota_seleccion=12
BABA,balanced_rank_v1:cuota_base,us,Consumer Cyclical,disc_20260831T103225269745Z; rank_bucket=5; cuota_seleccion=12
LVMUY,balanced_rank_v1:cuota_base,us,Consumer Cyclical,disc_20260831T103225269745Z; rank_bucket=6; cuota_seleccion=12
TOYOF,balanced_rank_v1:cuota_base,us,Consumer Cyclical,disc_20260831T103225269745Z; rank_bucket=7; cuota_seleccion=12
TM,balanced_rank_v1:cuota_base,us,Consumer Cyclical,disc_20260831T103225269745Z; rank_bucket=8; cuota_seleccion=12
IDEXY,balanced_rank_v1:cuota_base,us,Consumer Cyclical,disc_20260831T103225269745Z; rank_bucket=9; cuota_seleccion=12
MCD,balanced_rank_v1:cuota_base,us,Consumer Cyclical,disc_20260831T103225269745Z; rank_bucket=10; cuota_seleccion=12
BKNG,balanced_rank_v1:cuota_base,us,Consumer Cyclical,disc_20260831T103225269745Z; rank_bucket=11; cuota_seleccion=12
TJX,balanced_rank_v1:cuota_base,us,Consumer Cyclical,disc_20260831T103225269745Z; rank_bucket=12; cuota_seleccion=12
WMT,balanced_rank_v1:cuota_base,us,Consumer Defensive,disc_20260831T103225269745Z; rank_bucket=1; cuota_seleccion=12
COST,balanced_rank_v1:cuota_base,us,Consumer Defensive,disc_20260831T103225269745Z; rank_bucket=2; cuota_seleccion=12
KO,balanced_rank_v1:cuota_base,us,Consumer Defensive,disc_20260831T103225269745Z; rank_bucket=3; cuota_seleccion=12
PG,balanced_rank_v1:cuota_base,us,Consumer Defensive,disc_20260831T103225269745Z; rank_bucket=4; cuota_seleccion=12
PM,balanced_rank_v1:cuota_base,us,Consumer Defensive,disc_20260831T103225269745Z; rank_bucket=5; cuota_seleccion=12
