ticker,origen_inclusion,region_descubrimiento,sector_descubrimiento,nota
TSM,refine_observed_v1:superviviente,us,Technology,disc_20260831T103225269745Z; observacion=snap_20260831T155950914633Z; rank_bucket=4
AVGO,refine_observed_v1:superviviente,us,Technology,disc_20260831T103225269745Z; observacion=snap_20260831T155950914633Z; rank_bucket=5
SKHY,refine_observed_v1:superviviente,us,Technology,disc_20260831T103225269745Z; observacion=snap_20260831T155950914633Z; rank_bucket=6
MU,refine_observed_v1:superviviente,us,Technology,disc_20260831T103225269745Z; observacion=snap_20260831T155950914633Z; rank_bucket=7
AMD,refine_observed_v1:superviviente,us,Technology,disc_20260831T103225269745Z; observacion=snap_20260831T155950914633Z; rank_bucket=8
INTC,refine_observed_v1:superviviente,us,Technology,disc_20260831T103225269745Z; observacion=snap_20260831T155950914633Z; rank_bucket=10
PLTR,refine_observed_v1:superviviente,us,Technology,disc_20260831T103225269745Z; observacion=snap_20260831T155950914633Z; rank_bucket=11
ORCL,refine_observed_v1:superviviente,us,Technology,disc_20260831T103225269745Z; observacion=snap_20260831T155950914633Z; rank_bucket=12
CSCO,refine_observed_v1:relleno_mismo_bucket,us,Technology,disc_20260831T103225269745Z; observacion=snap_20260831T155950914633Z; rank_bucket=13
LRCX,refine_observed_v1:relleno_mismo_bucket,us,Technology,disc_20260831T103225269745Z; observacion=snap_20260831T155950914633Z; rank_bucket=14
AMAT,refine_observed_v1:relleno_mismo_bucket,us,Technology,disc_20260831T103225269745Z; observacion=snap_20260831T155950914633Z; rank_bucket=15
PANW,refine_observed_v1:relleno_mismo_bucket,us,Technology,disc_20260831T103225269745Z; observacion=snap_20260831T155950914633Z; rank_bucket=16
SPCX,refine_observed_v1:superviviente,us,Industrials,disc_20260831T103225269745Z; observacion=snap_20260831T155950914633Z; rank_bucket=1
CAT,refine_observed_v1:superviviente,us,Industrials,disc_20260831T103225269745Z; observacion=snap_20260831T155950914633Z; rank_bucket=2
GE,refine_observed_v1:superviviente,us,Industrials,disc_20260831T103225269745Z; observacion=snap_20260831T155950914633Z; rank_bucket=4
RTX,refine_observed_v1:superviviente,us,Industrials,disc_20260831T103225269745Z; observacion=snap_20260831T155950914633Z; rank_bucket=5
GEV,refine_observed_v1:superviviente,us,Industrials,disc_20260831T103225269745Z; observacion=snap_20260831T155950914633Z; rank_bucket=7
SBGSY,refine_observed_v1:superviviente,us,Industrials,disc_20260831T103225269745Z; observacion=snap_20260831T155950914633Z; rank_bucket=8
UNP,refine_observed_v1:superviviente,us,Industrials,disc_20260831T103225269745Z; observacion=snap_20260831T155950914633Z; rank_bucket=10
DE,refine_observed_v1:relleno_mismo_bucket,us,Industrials,disc_20260831T103225269745Z; observacion=snap_20260831T155950914633Z; rank_bucket=13
BA,refine_observed_v1:relleno_mismo_bucket,us,Industrials,disc_20260831T103225269745Z; observacion=snap_20260831T155950914633Z; rank_bucket=14
SAFRY,refine_observed_v1:relleno_mismo_bucket,us,Industrials,disc_20260831T103225269745Z; observacion=snap_20260831T155950914633Z; rank_bucket=15
ETN,refine_observed_v1:relleno_mismo_bucket,us,Industrials,disc_20260831T103225269745Z; observacion=snap_20260831T155950914633Z; rank_bucket=16
